tickets_sold,time_remaining,action
0,0,Reject
0,1,Discount
0,2,Discount
0,3,Discount
0,4,Discount
0,5,Discount
0,6,Discount
0,7,Discount
0,8,Discount
0,9,Discount
0,10,Discount
0,11,Discount
0,12,Discount
0,13,Discount
0,14,Discount
0,15,Full Price
0,16,Full Price
0,17,Full Price
0,18,Full Price
0,19,Full Price
0,20,Full Price
1,0,Reject
1,1,Discount
1,2,Discount
1,3,Discount
1,4,Discount
1,5,Discount
1,6,Discount
1,7,Discount
1,8,Discount
1,9,Discount
1,10,Discount
1,11,Discount
1,12,Discount
1,13,Discount
1,14,Full Price
1,15,Full Price
1,16,Full Price
1,17,Full Price
1,18,Full Price
1,19,Full Price
1,20,Full Price
2,0,Reject
2,1,Discount
2,2,Discount
2,3,Discount
2,4,Discount
2,5,Discount
2,6,Discount
2,7,Discount
2,8,Discount
2,9,Discount
2,10,Discount
2,11,Discount
2,12,Full Price
2,13,Full Price
2,14,Full Price
2,15,Full Price
2,16,Full Price
2,17,Full Price
2,18,Full Price
2,19,Full Price
2,20,Full Price
3,0,Reject
3,1,Discount
3,2,Discount
3,3,Discount
3,4,Discount
3,5,Discount
3,6,Discount
3,7,Discount
3,8,Discount
3,9,Discount
3,10,Discount
3,11,Full Price
3,12,Full Price
3,13,Full Price
3,14,Full Price
3,15,Full Price
3,16,Full Price
3,17,Full Price
3,18,Full Price
3,19,Full Price
3,20,Full Price
4,0,Reject
4,1,Discount
4,2,Discount
4,3,Discount
4,4,Discount
4,5,Discount
4,6,Discount
4,7,Discount
4,8,Discount
4,9,Full Price
4,10,Full Price
4,11,Full Price
4,12,Full Price
4,13,Full Price
4,14,Full Price
4,15,Full Price
4,16,Full Price
4,17,Full Price
4,18,Full Price
4,19,Full Price
4,20,Full Price
5,0,Reject
5,1,Discount
5,2,Discount
5,3,Discount
5,4,Discount
5,5,Discount
5,6,Discount
5,7,Discount
5,8,Full Price
5,9,Full Price
5,10,Full Price
5,11,Full Price
5,12,Full Price
5,13,Full Price
5,14,Full Price
5,15,Full Price
5,16,Full Price
5,17,Full Price
5,18,Full Price
5,19,Full Price
5,20,Full Price
6,0,Reject
6,1,Discount
6,2,Discount
6,3,Discount
6,4,Discount
6,5,Discount
6,6,Full Price
6,7,Full Price
6,8,Full Price
6,9,Full Price
6,10,Full Price
6,11,Full Price
6,12,Full Price
6,13,Full Price
6,14,Full Price
6,15,Full Price
6,16,Full Price
6,17,Full Price
6,18,Full Price
6,19,Full Price
6,20,Full Price
7,0,Reject
7,1,Discount
7,2,Discount
7,3,Discount
7,4,Discount
7,5,Full Price
7,6,Full Price
7,7,Full Price
7,8,Full Price
7,9,Full Price
7,10,Full Price
7,11,Full Price
7,12,Full Price
7,13,Full Price
7,14,Full Price
7,15,Full Price
7,16,Full Price
7,17,Full Price
7,18,Full Price
7,19,Full Price
7,20,Full Price
8,0,Reject
8,1,Discount
8,2,Discount
8,3,Discount
8,4,Full Price
8,5,Full Price
8,6,Full Price
8,7,Full Price
8,8,Full Price
8,9,Full Price
8,10,Full Price
8,11,Full Price
8,12,Full Price
8,13,Full Price
8,14,Full Price
8,15,Full Price
8,16,Full Price
8,17,Full Price
8,18,Full Price
8,19,Full Price
8,20,Full Price
9,0,Reject
9,1,Discount
9,2,Full Price
9,3,Full Price
9,4,Full Price
9,5,Full Price
9,6,Full Price
9,7,Full Price
9,8,Full Price
9,9,Full Price
9,10,Full Price
9,11,Full Price
9,12,Full Price
9,13,Full Price
9,14,Full Price
9,15,Full Price
9,16,Full Price
9,17,Full Price
9,18,Full Price
9,19,Full Price
9,20,Full Price
10,0,Reject
10,1,Full Price
10,2,Full Price
10,3,Full Price
10,4,Full Price
10,5,Full Price
10,6,Full Price
10,7,Full Price
10,8,Full Price
10,9,Full Price
10,10,Full Price
10,11,Full Price
10,12,Full Price
10,13,Full Price
10,14,Full Price
10,15,Full Price
10,16,Full Price
10,17,Full Price
10,18,Full Price
10,19,Full Price
10,20,Full Price
11,0,Reject
11,1,Reject
11,2,Reject
11,3,Reject
11,4,Reject
11,5,Reject
11,6,Reject
11,7,Reject
11,8,Reject
11,9,Reject
11,10,Reject
11,11,Reject
11,12,Reject
11,13,Reject
11,14,Reject
11,15,Reject
11,16,Reject
11,17,Reject
11,18,Reject
11,19,Reject
11,20,Reject
12,0,Reject
12,1,Reject
12,2,Reject
12,3,Reject
12,4,Reject
12,5,Reject
12,6,Reject
12,7,Reject
12,8,Reject
12,9,Reject
12,10,Reject
12,11,Reject
12,12,Reject
12,13,Reject
12,14,Reject
12,15,Reject
12,16,Reject
12,17,Reject
12,18,Reject
12,19,Reject
12,20,Reject
13,0,Reject
13,1,Reject
13,2,Reject
13,3,Reject
13,4,Reject
13,5,Reject
13,6,Reject
13,7,Reject
13,8,Reject
13,9,Reject
13,10,Reject
13,11,Reject
13,12,Reject
13,13,Reject
13,14,Reject
13,15,Reject
13,16,Reject
13,17,Reject
13,18,Reject
13,19,Reject
13,20,Reject
14,0,Reject
14,1,Reject
14,2,Reject
14,3,Reject
14,4,Reject
14,5,Reject
14,6,Reject
14,7,Reject
14,8,Reject
14,9,Reject
14,10,Reject
14,11,Reject
14,12,Reject
14,13,Reject
14,14,Reject
14,15,Reject
14,16,Reject
14,17,Reject
14,18,Reject
14,19,Reject
14,20,Reject
15,0,Reject
15,1,Reject
15,2,Reject
15,3,Reject
15,4,Reject
15,5,Reject
15,6,Reject
15,7,Reject
15,8,Reject
15,9,Reject
15,10,Reject
15,11,Reject
15,12,Reject
15,13,Reject
15,14,Reject
15,15,Reject
15,16,Reject
15,17,Reject
15,18,Reject
15,19,Reject
15,20,Reject
