tickets_sold,time_remaining,value
0,0,-200.00
0,1,-3.92
0,2,192.16
0,3,388.24
0,4,584.32
0,5,780.40
0,6,976.48
0,7,1172.56
0,8,1368.64
0,9,1564.72
0,10,1760.80
0,11,1950.34
0,12,2123.76
0,13,2276.71
0,14,2412.10
0,15,2536.61
0,16,2651.40
0,17,2753.67
0,18,2841.69
0,19,2914.96
0,20,2974.02
1,0,-182.00
1,1,14.08
1,2,210.16
1,3,406.24
1,4,602.32
1,5,798.40
1,6,994.48
1,7,1190.56
1,8,1386.64
1,9,1582.72
1,10,1770.20
1,11,1938.52
1,12,2085.01
1,13,2214.86
1,14,2334.44
1,15,2441.59
1,16,2534.02
1,17,2610.86
1,18,2672.52
1,19,2720.43
1,20,2756.53
2,0,-164.00
2,1,32.08
2,2,228.16
2,3,424.24
2,4,620.32
2,5,816.40
2,6,1012.48
2,7,1208.56
2,8,1404.64
2,9,1589.40
2,10,1751.68
2,11,1891.26
2,12,2015.87
2,13,2128.40
2,14,2225.79
2,15,2306.65
2,16,2371.22
2,17,2420.97
2,18,2458.06
2,19,2484.90
2,20,2503.81
3,0,-146.00
3,1,50.08
3,2,246.16
3,3,442.24
3,4,638.32
3,5,834.40
3,6,1030.48
3,7,1226.56
3,8,1407.75
3,9,1562.92
3,10,1695.34
3,11,1813.77
3,12,1916.81
3,13,2002.30
3,14,2070.18
3,15,2121.96
3,16,2160.06
3,17,2187.21
3,18,2205.99
3,19,2218.66
3,20,2227.00
4,0,-128.00
4,1,68.08
4,2,264.16
4,3,460.24
4,4,656.32
4,5,852.40
4,6,1048.48
4,7,1224.96
4,8,1371.93
4,9,1497.16
4,10,1606.83
4,11,1697.77
4,12,1769.48
4,13,1823.52
4,14,1862.65
4,15,1890.00
4,16,1908.53
4,17,1920.75
4,18,1928.61
4,19,1933.56
4,20,1936.61
5,0,-110.00
5,1,86.08
5,2,282.16
5,3,478.24
5,4,674.32
5,5,870.40
5,6,1040.70
5,7,1178.33
5,8,1295.56
5,9,1393.00
5,10,1469.23
5,11,1525.82
5,12,1565.98
5,13,1593.39
5,14,1611.49
5,15,1623.10
5,16,1630.35
5,17,1634.79
5,18,1637.45
5,19,1639.01
5,20,1639.92
6,0,-92.00
6,1,104.08
6,2,300.16
6,3,496.24
6,4,692.32
6,5,854.47
6,6,981.80
6,7,1087.66
6,8,1169.55
6,9,1229.12
6,10,1270.28
6,11,1297.53
6,12,1314.93
6,13,1325.71
6,14,1332.22
6,15,1336.05
6,16,1338.27
6,17,1339.54
6,18,1340.25
6,19,1340.64
6,20,1340.85
7,0,-74.00
7,1,122.08
7,2,318.16
7,3,514.24
7,4,665.68
7,5,781.84
7,6,870.84
7,7,933.90
7,8,975.92
7,9,1002.62
7,10,1018.94
7,11,1028.60
7,12,1034.18
7,13,1037.33
7,14,1039.07
7,15,1040.02
7,16,1040.53
7,17,1040.80
7,18,1040.94
7,19,1041.02
7,20,1041.06
8,0,-56.00
8,1,140.08
8,2,336.16
8,3,473.50
8,4,573.11
8,5,640.77
8,6,683.44
8,7,708.95
8,8,723.60
8,9,731.76
8,10,736.20
8,11,738.56
8,12,739.80
8,13,740.44
8,14,740.77
8,15,740.93
8,16,741.01
8,17,741.06
8,18,741.08
8,19,741.09
8,20,741.09
9,0,-38.00
9,1,158.08
9,2,276.87
9,3,351.37
9,4,393.93
9,5,416.96
9,6,428.99
9,7,435.11
9,8,438.17
9,9,439.68
9,10,440.42
9,11,440.77
9,12,440.94
9,13,441.02
9,14,441.06
9,15,441.08
9,16,441.09
9,17,441.09
9,18,441.09
9,19,441.09
9,20,441.09
10,0,-20.00
10,1,70.21
10,2,109.91
10,3,127.37
10,4,135.06
10,5,138.44
10,6,139.93
10,7,140.58
10,8,140.87
10,9,141.00
10,10,141.05
10,11,141.08
10,12,141.09
10,13,141.09
10,14,141.09
10,15,141.09
10,16,141.09
10,17,141.09
10,18,141.09
10,19,141.09
10,20,141.09
11,0,-158.91
11,1,-158.91
11,2,-158.91
11,3,-158.91
11,4,-158.91
11,5,-158.91
11,6,-158.91
11,7,-158.91
11,8,-158.91
11,9,-158.91
11,10,-158.91
11,11,-158.91
11,12,-158.91
11,13,-158.91
11,14,-158.91
11,15,-158.91
11,16,-158.91
11,17,-158.91
11,18,-158.91
11,19,-158.91
11,20,-158.91
12,0,-470.72
12,1,-470.72
12,2,-470.72
12,3,-470.72
12,4,-470.72
12,5,-470.72
12,6,-470.72
12,7,-470.72
12,8,-470.72
12,9,-470.72
12,10,-470.72
12,11,-470.72
12,12,-470.72
12,13,-470.72
12,14,-470.72
12,15,-470.72
12,16,-470.72
12,17,-470.72
12,18,-470.72
12,19,-470.72
12,20,-470.72
13,0,-870.82
13,1,-870.82
13,2,-870.82
13,3,-870.82
13,4,-870.82
13,5,-870.82
13,6,-870.82
13,7,-870.82
13,8,-870.82
13,9,-870.82
13,10,-870.82
13,11,-870.82
13,12,-870.82
13,13,-870.82
13,14,-870.82
13,15,-870.82
13,16,-870.82
13,17,-870.82
13,18,-870.82
13,19,-870.82
13,20,-870.82
14,0,-1305.45
14,1,-1305.45
14,2,-1305.45
14,3,-1305.45
14,4,-1305.45
14,5,-1305.45
14,6,-1305.45
14,7,-1305.45
14,8,-1305.45
14,9,-1305.45
14,10,-1305.45
14,11,-1305.45
14,12,-1305.45
14,13,-1305.45
14,14,-1305.45
14,15,-1305.45
14,16,-1305.45
14,17,-1305.45
14,18,-1305.45
14,19,-1305.45
14,20,-1305.45
15,0,-1751.30
15,1,-1751.30
15,2,-1751.30
15,3,-1751.30
15,4,-1751.30
15,5,-1751.30
15,6,-1751.30
15,7,-1751.30
15,8,-1751.30
15,9,-1751.30
15,10,-1751.30
15,11,-1751.30
15,12,-1751.30
15,13,-1751.30
15,14,-1751.30
15,15,-1751.30
15,16,-1751.30
15,17,-1751.30
15,18,-1751.30
15,19,-1751.30
15,20,-1751.30
